Categoria,Subcategoria,Produto
MERCEARIA,Grãos e Cereais,Arroz Branco 5kg
MERCEARIA,Grãos e Cereais,Arroz Integral 5kg
MERCEARIA,Grãos e Cereais,Arroz Parboilizado 5kg
MERCEARIA,Grãos e Cereais,Feijão Carioca 1kg
MERCEARIA,Grãos e Cereais,Feijão Preto 1kg
MERCEARIA,Grãos e Cereais,Feijão Fradinho 1kg
MERCEARIA,Grãos e Cereais,Feijão Mulatinho 1kg
MERCEARIA,Grãos e Cereais,Lentilha 500g
MERCEARIA,Grãos e Cereais,Grão de Bico 1kg
MERCEARIA,Grãos e Cereais,Milho de Pipoca 500g
MERCEARIA,Grãos e Cereais,Aveia em Flocos 500g
MERCEARIA,Grãos e Cereais,Granola 500g
MERCEARIA,Grãos e Cereais,Cereal Matinal 500g
MERCEARIA,Grãos e Cereais,Cuscuz 500g
MERCEARIA,Grãos e Cereais,Quinoa 500g
MERCEARIA,Farinhas,Farinha de Trigo Comum 1kg
MERCEARIA,Farinhas,Farinha de Trigo Integral 1kg
MERCEARIA,Farinhas,Farinha de Mandioca 1kg
MERCEARIA,Farinhas,Farinha de Milho 1kg
MERCEARIA,Farinhas,Fubá 1kg
MERCEARIA,Farinhas,Goma de Tapioca 500g
MERCEARIA,Farinhas,Farinha de Centeio 500g
MERCEARIA,Massas,Macarrão Integral 500g
MERCEARIA,Massas,Macarrão Penne 500g
MERCEARIA,Massas,Macarrão Espaguete 500g
MERCEARIA,Massas,Macarrão Parafuso 500g
MERCEARIA,Massas,Macarrão sem Glúten 400g
MERCEARIA,Massas,Macarrão Ninho 500g
MERCEARIA,Massas,Lasanha 500g
MERCEARIA,Massas,Talharim 500g
MERCEARIA,Óleos e Azeites,Óleo de Soja 900ml
MERCEARIA,Óleos e Azeites,Óleo de Girassol 900ml
MERCEARIA,Óleos e Azeites,Óleo de Milho 900ml
MERCEARIA,Óleos e Azeites,Azeite de Oliva Extra Virgem 500ml
MERCEARIA,Óleos e Azeites,Azeite de Oliva Comum 500ml
MERCEARIA,Óleos e Azeites,Óleo de Coco 500ml
MERCEARIA,Óleos e Azeites,Óleo de Amendoim 500ml
MERCEARIA,Temperos e Condimentos,Sal Refinado 1kg
MERCEARIA,Temperos e Condimentos,Sal Marinho 500g
MERCEARIA,Temperos e Condimentos,Sal Iodado 1kg
MERCEARIA,Temperos e Condimentos,Açúcar Cristal 1kg
MERCEARIA,Temperos e Condimentos,Açúcar Refinado 1kg
MERCEARIA,Temperos e Condimentos,Açúcar Demerara 1kg
MERCEARIA,Temperos e Condimentos,Açúcar Mascavo 500g
MERCEARIA,Temperos e Condimentos,Mel Puro 500g
MERCEARIA,Temperos e Condimentos,Melado 500ml
MERCEARIA,Temperos e Condimentos,Xarope de Guaraná 500ml
MERCEARIA,Temperos e Condimentos,Ketchup 400g
MERCEARIA,Temperos e Condimentos,Mostarda 150g
MERCEARIA,Temperos e Condimentos,Maionese 500g
MERCEARIA,Temperos e Condimentos,Vinagre Branco 750ml
MERCEARIA,Temperos e Condimentos,Vinagre de Maçã 750ml
MERCEARIA,Temperos e Condimentos,Vinagre Balsâmico 250ml
MERCEARIA,Temperos e Condimentos,Shoyu 200ml
MERCEARIA,Temperos e Condimentos,Molho de Pimenta 150ml
MERCEARIA,Temperos e Condimentos,Pimenta do Reino Moída 50g
MERCEARIA,Temperos e Condimentos,Pimenta Vermelha em Pó 100g
MERCEARIA,Temperos e Condimentos,Páprica Doce 100g
MERCEARIA,Temperos e Condimentos,Colorau 100g
MERCEARIA,Temperos e Condimentos,Cominho em Pó 100g
MERCEARIA,Temperos e Condimentos,Orégano Seco 100g
MERCEARIA,Temperos e Condimentos,Alecrim Seco 100g
MERCEARIA,Temperos e Condimentos,Tomilho Seco 100g
MERCEARIA,Temperos e Condimentos,Louro em Folha 50g
MERCEARIA,Temperos e Condimentos,Manjericão Seco 50g
MERCEARIA,Temperos e Condimentos,Caldo Carne 150g
MERCEARIA,Temperos e Condimentos,Caldo Frango 150g
MERCEARIA,Temperos e Condimentos,Caldo Legumes 150g
MERCEARIA,Enlatados e Conservas,Atum em Lata 170g
MERCEARIA,Enlatados e Conservas,Sardinha em Lata 120g
MERCEARIA,Enlatados e Conservas,Milho em Lata 200g
MERCEARIA,Enlatados e Conservas,Ervilha em Lata 200g
MERCEARIA,Enlatados e Conservas,Palmito em Lata 300g
MERCEARIA,Enlatados e Conservas,Cenoura em Lata 200g
MERCEARIA,Enlatados e Conservas,Beterraba em Lata 200g
MERCEARIA,Enlatados e Conservas,Abacaxi em Calda 500g
MERCEARIA,Enlatados e Conservas,Pêssego em Calda 500g
MERCEARIA,Enlatados e Conservas,Pêra em Calda 500g
MERCEARIA,Enlatados e Conservas,Ameixa em Calda 500g
MERCEARIA,Molhos e Extratos,Molho de Tomate 340g
MERCEARIA,Molhos e Extratos,Extrato de Tomate 350g
MERCEARIA,Molhos e Extratos,Tomate Pelado 500g
MERCEARIA,Molhos e Extratos,Molho Bolonhesa 500g
MERCEARIA,Molhos e Extratos,Molho Branco Pronto 500ml
MERCEARIA,Molhos e Extratos,Molho Agridoce 500ml
MERCEARIA,Molhos e Extratos,Molho Inglês 100ml
MERCEARIA,Molhos e Extratos,Molho de Soja Tipo Ponzu 500ml
MERCEARIA,Leites e Derivados,Leite de Coco 200ml
MERCEARIA,Leites e Derivados,Creme de Leite 200ml
MERCEARIA,Leites e Derivados,Leite Condensado 395g
MERCEARIA,Leites e Derivados,Leite em Pó Integral 400g
MERCEARIA,Leites e Derivados,Leite em Pó Desnatado 400g
MERCEARIA,Leites e Derivados,Leite Vegetal Amêndoa 1L
MERCEARIA,Leites e Derivados,Leite Vegetal Arroz 1L
MERCEARIA,Leites e Derivados,Leite Vegetal Soja 1L
MERCEARIA,Leites e Derivados,Leite Vegetal Aveia 1L
MERCEARIA,Legumes Secos,Abóbora Desidratada 100g
MERCEARIA,Legumes Secos,Tomate Seco 100g
MERCEARIA,Legumes Secos,Cogumelo Desidratado 50g
MERCEARIA,Legumes Secos,Alga Nori 50g
MERCEARIA,Conservas Importadas,Azeitona Preta 300g
MERCEARIA,Conservas Importadas,Azeitona Verde 300g
MERCEARIA,Conservas Importadas,Alcaparras 100g
MERCEARIA,Conservas Importadas,Cornichons 370g
MERCEARIA,Conservas Importadas,Abacate em Conserva 300g
MERCEARIA,Frutos Secos,Castanha de Caju 200g
MERCEARIA,Frutos Secos,Castanha do Pará 200g
MERCEARIA,Frutos Secos,Amendoim Torrado 200g
MERCEARIA,Frutos Secos,Amêndoa 200g
MERCEARIA,Frutos Secos,Avelã 200g
MERCEARIA,Frutos Secos,Noz 200g
MERCEARIA,Frutos Secos,Damasco Seco 200g
MERCEARIA,Frutos Secos,Uva Passa 200g
MERCEARIA,Frutos Secos,Banana Passa 200g
MERCEARIA,Frutos Secos,Coco Ralado 100g
MERCEARIA,Açúcar e Adoçantes,Açúcar Luz 1kg
MERCEARIA,Açúcar e Adoçantes,Xilitol 500g
MERCEARIA,Açúcar e Adoçantes,Eritritol 500g
MERCEARIA,Açúcar e Adoçantes,Adoçante Líquido 100ml
MERCEARIA,Açúcar e Adoçantes,Adoçante em Pó 100g
BEBIDAS,Café,Café em Pó Coado 500g
BEBIDAS,Café,Café em Pó Espresso 500g
BEBIDAS,Café,Café em Pó Gourmet 500g
BEBIDAS,Café,Café Solúvel 100g
BEBIDAS,Café,Café com Açúcar 500g
BEBIDAS,Chás,Chá Preto 20 Saquinhos
BEBIDAS,Chás,Chá Branco 20 Saquinhos
BEBIDAS,Chás,Chá Verde 20 Saquinhos
BEBIDAS,Chás,Chá Camomila 20 Saquinhos
BEBIDAS,Chás,Chá Gengibre 20 Saquinhos
BEBIDAS,Chás,Chá Hortelã 20 Saquinhos
BEBIDAS,Chás,Chá Erva-Doce 20 Saquinhos
BEBIDAS,Chás,Chá Mate 20 Saquinhos
BEBIDAS,Chás,Chá Detox 20 Saquinhos
BEBIDAS,Achocolatados,Achocolatado em Pó 400g
BEBIDAS,Achocolatados,Achocolatado Quente 400g
BEBIDAS,Achocolatados,Achocolatado com Fibras 400g
BEBIDAS,Achocolatados,Achocolatado Diet 400g
BEBIDAS,Refrigerantes,Refrigerante Cola 2L
BEBIDAS,Refrigerantes,Refrigerante Cola Zero 2L
BEBIDAS,Refrigerantes,Refrigerante Laranja 2L
BEBIDAS,Refrigerantes,Refrigerante Guaraná 2L
BEBIDAS,Refrigerantes,Refrigerante Limão 2L
BEBIDAS,Refrigerantes,Refrigerante Uva 2L
BEBIDAS,Refrigerantes,Refrigerante Abacaxi 2L
BEBIDAS,Refrigerantes,Água Tônica 1L
BEBIDAS,Sucos,Suco Natural Laranja 1L
BEBIDAS,Sucos,Suco Natural Maçã 1L
BEBIDAS,Sucos,Suco Concentrado Laranja 500ml
BEBIDAS,Sucos,Suco Concentrado Maçã 500ml
BEBIDAS,Sucos,Suco em Caixinha Laranja 200ml
BEBIDAS,Sucos,Suco em Caixinha Maçã 200ml
BEBIDAS,Sucos,Suco em Caixinha Pêssego 200ml
BEBIDAS,Sucos,Suco em Caixinha Uva 200ml
BEBIDAS,Água,Água Mineral com Gás 1.5L
BEBIDAS,Água,Água Mineral sem Gás 1.5L
BEBIDAS,Água,Água Mineral 5L
BEBIDAS,Energéticos,Bebida Energética 250ml
